grf_right_y,grf_right_z,grf_left_y,grf_left_z
-0.0117562934756279,-0.0107121542096138,-0.0650849267840385,-0.8513529896736145
-0.0117159485816956,-0.0117468498647213,-0.0660911574959755,-0.8519361019134521
-0.0119870342314243,-0.0108183212578297,-0.0655751153826714,-0.8525742888450623
-0.0149761475622654,-0.0120311230421066,-0.0769190117716789,-0.8696526288986206
-0.0164360292255878,-0.0086075253784657,-0.0805751308798790,-0.8767448067665100
-0.0178765580058098,-0.0064976550638676,-0.0855698212981224,-0.8831471204757690
-0.0204725004732609,-0.0022590830922127,-0.0921845138072968,-0.8941856622695923
-0.0201597027480602,-0.0084048956632614,-0.0866823047399521,-0.8873283267021179
-0.0194868519902229,-0.0048053748905659,-0.0919143408536911,-0.8921747803688049
-0.0173092707991600,-0.0084702596068382,-0.0882909670472145,-0.8851194977760315
-0.0181921571493149,-0.0155622661113739,-0.0876027792692184,-0.8809345364570618
-0.0162841528654099,-0.0141386091709137,-0.0852371156215668,-0.8788505792617798
-0.0151013210415840,-0.0155556090176105,-0.0838892534375191,-0.8753187060356140
-0.0189251080155373,-0.0150989890098572,-0.0910061672329903,-0.8852168321609497
-0.0180259197950363,-0.0161259919404984,-0.0900215655565262,-0.8829824328422546
-0.0147047638893127,-0.0187360867857933,-0.0850406363606453,-0.8748852610588074
-0.0127554833889008,-0.0215099230408669,-0.0802873224020004,-0.8684636950492859
-0.0111579746007919,-0.0252656117081642,-0.0780221372842789,-0.8626402020454407
-0.0101079680025578,-0.0305760614573956,-0.0799395069479942,-0.8585590720176697
-0.0092833675444126,-0.0305306501686573,-0.0840819627046585,-0.8628059029579163
-0.0074032433331013,-0.0339000783860683,-0.0885175466537476,-0.8610748052597046
-0.0079003386199474,-0.0312012396752834,-0.0979448109865189,-0.8641262054443359
-0.0100910738110542,-0.0406358577311039,-0.0961744114756584,-0.8556097745895386
-0.0101409666240215,-0.0407850481569767,-0.0963666439056396,-0.8556734323501587
-0.0101020149886608,-0.0407897122204304,-0.0966667681932449,-0.8559727668762207
-0.0094382837414742,-0.0428364612162113,-0.0964734554290771,-0.8548423647880554
-0.0093924961984158,-0.0430408902466297,-0.0963074490427971,-0.8546476364135742
-0.0098593011498451,-0.0476462207734585,-0.0952657982707024,-0.8526018261909485
-0.0093273781239986,-0.0487245507538319,-0.0910839885473251,-0.8496266007423401
-0.0105660483241081,-0.0772140175104141,-0.0927654355764389,-0.8243502974510193
-0.0128061585128307,-0.0859215110540390,-0.0925023183226585,-0.8173216581344604
-0.0133324675261974,-0.0907840728759766,-0.0929725319147110,-0.8147463798522949
-0.0156062059104443,-0.1372998058795929,-0.0900511518120766,-0.7903949618339539
-0.0152174718677998,-0.1810167133808136,-0.0976002514362335,-0.7865359187126160
-0.0102617889642715,-0.2221282720565796,-0.1082040295004845,-0.7657591700553894
-0.0144182369112968,-0.2932455837726593,-0.1022691503167152,-0.7303433418273926
-0.0215105935931206,-0.3158384859561920,-0.0899335443973541,-0.7308058738708496
-0.0212802961468697,-0.3449004292488098,-0.0742755755782127,-0.7111371159553528
-0.0194895043969154,-0.3902333676815033,-0.0606602504849434,-0.6838111281394958
-0.0168048441410065,-0.4072743952274323,-0.0564353615045547,-0.6750352978706360
-0.0152270123362541,-0.4196031987667084,-0.0566122159361839,-0.6712261438369751
-0.0060400813817978,-0.3847132623195648,-0.0615519508719444,-0.6746518611907959
-0.0020513050258160,-0.3441216349601746,-0.0713516920804977,-0.6904422044754028
-0.0067983046174049,-0.2984261810779572,-0.0768758058547974,-0.6957961320877075
-0.0074728876352310,-0.2982854843139648,-0.0734107866883278,-0.6938514113426208
-0.0056230388581753,-0.3168340027332306,-0.0511933565139771,-0.6522961258888245
0.0035149846225977,-0.3243086934089661,-0.0595629885792732,-0.6398610472679138
0.0061493944376707,-0.3304715752601624,-0.0669793784618378,-0.6473097205162048
0.0102310441434383,-0.3516980409622192,-0.0646864846348763,-0.6275287270545959
0.0068825501948595,-0.3248544335365295,-0.0537351369857788,-0.6121893525123596
0.0082470607012510,-0.3076117038726807,-0.0422536730766296,-0.6075850725173950
0.0075784083455801,-0.3031295537948608,-0.0260617919266224,-0.5955454111099243
0.0130708385258913,-0.3458897471427917,-0.0245786346495152,-0.5654841065406799
0.0246732551604509,-0.3608675301074982,-0.0270946696400642,-0.5448185801506042
0.0271641165018082,-0.3647643923759460,-0.0283978469669819,-0.5432033538818359
0.0224280133843422,-0.3869962692260742,-0.0270020328462124,-0.5355063676834106
0.0210635550320148,-0.3908876776695251,-0.0285100303590298,-0.5373046994209290
0.0187490507960320,-0.3851049840450287,-0.0282515585422516,-0.5406095385551453
0.0251936744898558,-0.3902502357959747,-0.0371659472584724,-0.5110725760459900
0.0212092399597168,-0.4119152426719666,-0.0357049256563187,-0.5006455779075623
0.0297675263136625,-0.4576452076435089,-0.0365447290241718,-0.4674601256847382
0.0319958291947842,-0.4340961873531342,-0.0236482638865709,-0.4017625451087952
0.0377602726221085,-0.4765496850013733,-0.0197933446615934,-0.3587089478969574
0.0438027717173100,-0.4838677048683167,-0.0238575022667646,-0.3414109349250793
0.0556168593466282,-0.5398899912834167,-0.0163251738995314,-0.2786833941936493
0.0563077069818974,-0.5586763024330139,-0.0079718008637428,-0.2491805404424667
0.0454370602965355,-0.5916755795478821,0.0047622169367969,-0.2104742079973221
0.0452641621232033,-0.5984438657760620,0.0055475104600191,-0.2103487551212311
0.0574097186326981,-0.6310623884201050,0.0054206633940339,-0.1803529262542725
0.0746381878852844,-0.6749835610389709,0.0096271317452192,-0.1596079766750336
