Time [sec],x0 [m],y0 [m],size [m],x1 [m],y1 [m],size [m],x2 [m],y2 [m],size [m],x3 [m],y3 [m],size [m]
3.5000,5.93372314,-2.11990954,0.18188044,3.80753029,3.97270212,0.62865663,2.18232287,2.39251683,0.90141046,7.47465952,-2.05451072,1.08879383
3.6000,6.07322683,-2.11634356,0.18188044,3.91112793,4.01880678,0.62865663,1.89937928,2.31425372,0.90141046,7.45202504,-1.94333368,1.08879383
3.7000,6.20667558,-2.05752802,0.18188044,4.02059192,4.04899903,0.62865663,1.64582830,2.27493152,0.90141046,7.43549878,-1.82692844,1.08879383
3.8000,6.32214480,-1.99582682,0.18188044,4.13536444,4.05947250,0.62865663,1.41590767,2.38130708,0.90141046,7.41252115,-1.70866397,1.08879383
3.9000,6.43284413,-1.92073485,0.18188044,4.24780175,4.06436198,0.62865663,1.24068496,2.53044392,0.90141046,7.35186742,-1.58455688,1.08879383
4.0000,6.53349593,-1.84910900,0.18188044,4.36467466,4.04776879,0.62865663,1.04901906,2.56636900,0.90141046,7.26757132,-1.48513138,1.08879383
4.1000,6.65148202,-1.80662277,0.18188044,4.47268664,4.00492171,0.62865663,0.88866787,2.48613882,0.90141046,7.18687515,-1.37876183,1.08879383
4.2000,6.75569221,-1.72423205,0.18188044,4.57979596,3.95646237,0.62865663,0.85208384,2.45341242,0.90141046,7.09731471,-1.28374190,1.08879383
4.3000,6.83345281,-1.61350623,0.18188044,4.67867565,3.88419358,0.62865663,0.97014062,2.41955690,0.90141046,6.97251370,-1.21993502,1.08879383
4.4000,6.95628006,-1.56397239,0.18188044,4.80185104,3.84517648,0.62865663,1.21721315,2.23773301,0.90141046,6.86777560,-1.12407363,1.08879383
4.5000,7.05814405,-1.47816433,0.18188044,4.92489073,3.81507975,0.62865663,1.58965329,2.01779550,0.90141046,6.73524408,-1.06690683,1.08879383
4.6000,7.16772446,-1.40415806,0.18188044,5.04178668,3.75643989,0.62865663,2.15541934,1.94443537,0.90141046,6.64377635,-0.95752619,1.08879383
4.7000,7.29826418,-1.34713743,0.18188044,5.15507998,3.68225276,0.62865663,2.80898073,2.24597906,0.90141046,6.54567646,-0.85786607,1.08879383
4.8000,7.44217864,-1.34087364,0.18188044,5.28027511,3.61883024,0.62865663,3.43993549,2.60416622,0.90141046,6.43286752,-0.77813483,1.08879383
4.9000,7.57708890,-1.28370770,0.18188044,5.41957810,3.57773356,0.62865663,3.97618543,3.11240471,0.90141046,6.30164458,-0.72147162,1.08879383
5.0000,7.68865392,-1.18826188,0.18188044,5.53706756,3.50810570,0.62865663,4.40692264,3.71287173,0.90141046,6.17530735,-0.65101637,1.08879383
5.1000,7.83550475,-1.15228914,0.18188044,5.66321719,3.45956540,0.62865663,4.84743395,4.31370230,0.90141046,6.02996333,-0.61433582,1.08879383
5.2000,7.95354782,-1.10839481,0.18188044,5.78454760,3.38711795,0.62865663,5.36302450,4.87219643,0.90141046,5.87170641,-0.62646440,1.08879383
5.3000,8.08562051,-1.12833727,0.18188044,5.89561532,3.31038734,0.62865663,6.07335775,5.21423731,0.90141046,5.72498778,-0.58499317,1.08879383
5.4000,8.21561830,-1.12245365,0.18188044,6.00086667,3.21671369,0.62865663,6.77530248,5.44251045,0.90141046,5.57314393,-0.54215298,1.08879383
5.5000,8.33435567,-1.05718371,0.18188044,6.12041064,3.14053736,0.62865663,7.45559378,5.50847128,0.90141046,5.41515490,-0.52821448,1.08879383
5.6000,8.44650254,-1.01126266,0.18188044,6.26074227,3.09578813,0.62865663,8.10309797,5.41089051,0.90141046,5.26125772,-0.51359854,1.08879383
5.7000,8.56813751,-1.02430038,0.18188044,6.41070166,3.07574163,0.62865663,8.69117236,5.16865649,0.90141046,5.09993834,-0.47765909,1.08879383
5.8000,8.67765009,-0.97970014,0.18188044,6.54725898,3.03706284,0.62865663,9.16883142,4.81596239,0.90141046,4.93634985,-0.43551866,1.08879383
5.9000,8.76739030,-0.91279795,0.18188044,6.68779127,3.04019505,0.62865663,9.46689826,4.39047272,0.90141046,4.77823444,-0.38730505,1.08879383
6.0000,8.87405066,-0.90224199,0.18188044,6.82519286,3.00917155,0.62865663,9.52886201,3.92430379,0.90141046,4.62887781,-0.31419893,1.08879383
6.1000,8.95562577,-0.85857108,0.18188044,6.95552775,2.96910058,0.62865663,9.34974474,3.44047296,0.90141046,4.47258906,-0.27987523,1.08879383
